id	status	decision	task	done_when	checkpoint	artifact	next	notes
46	done	keep	Continue long-context and education media	The next candidate sheet batch starting at the 1M context MRCR v2 chart is visually inspected, source context checked, regenerated, and draft-check passes.	26b01b9	draft ok: raw=8175 keep=2616 duplicate=760 drop=4799 reviewed=2529; final blocker unreviewed_keep=815 generic_keep=815	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/69b49c06e1c573f3ce50276b_image%20(3).png.	Reviewed 1M context performance chart, connector logos, Cowork/plugin and Dispatch screenshots, PM workflow diagrams, Asana UI, Harnessing Claude intelligence diagrams, Managed Agents, advisor strategy charts, multi-agent coordination diagrams, and Claude Code tool-design visuals; kept 36 substantive charts/diagrams/UI images and removed 24 logos/thumbnails/stills.
47	done	keep	Continue managed agents and tool design media	The next candidate sheet batch starting at the Claude Managed Agents asset-management thumbnail is visually inspected, source context checked, regenerated, and draft-check passes.	1c5effc	draft ok: raw=8175 keep=2598 duplicate=760 drop=4817 reviewed=2589; final blocker unreviewed_keep=755 generic_keep=755	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/69d92236c741ecea08cb2568_Claude-Asset-Management-TN.png.	Reviewed Managed Agents and Dispatch tutorials, Claude Code routines/session-management diagrams, Opus 4.7 guidance, Claude Design handoff screenshots, Built with Opus hackathon examples, Managed Agents memory/tool-search charts, Claude Code onboarding and Blender connector screenshots, and connector/course/customer thumbnails; kept 42 substantive UI/diagram/example images and removed 18 logo/video-thumbnail/course-thumbnail assets.
48	done	keep	Continue connector and creative analytics media	The next candidate sheet batch starting at the Motion Creative Analytics connector logo is visually inspected, source context checked, regenerated, and draft-check passes.	d3e7e7e	draft ok: raw=8175 keep=2546 duplicate=760 drop=4869 reviewed=2649; final blocker unreviewed_keep=695 generic_keep=695	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/69f14d709c191ff2bd4e336a_Motion.svg.	Reviewed connector-directory logos, Claude Cowork tutorial thumbnails/screens, Claude Code prompt-caching diagrams, Claude Security decorative thumbnails, everyday connector logos, Managed Agents Dreaming/session UI images, and Code with Claude recording stills; kept 8 substantive Cowork/prompt-caching/Managed-Agents visuals and removed 52 logo/decorative/conference-still assets.
49	done	keep	Continue Code with Claude and product media	The next candidate sheet batch starting at the Code with Claude managed-agents-production recording still is visually inspected, source context checked, regenerated, and draft-check passes.	f0ce5cc	draft ok: raw=8175 keep=2500 duplicate=760 drop=4915 reviewed=2709; final blocker unreviewed_keep=635 generic_keep=635	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/69fc9d284a8f0321408950f6_managed-agents-production.webp.	Reviewed Code with Claude recording stills, Cowork setup screenshots, Claude Code agent-view terminal screenshots, computer/browser-use benchmark charts, legal connector logos, Code w/ Claude recap photos, Opus 4.7 model-picker screenshot, Claude Code large-codebase diagrams, Managed Agents MCP tunnel/self-hosted sandbox diagrams, Cowork business workflow UI, AI Fluency concept cards, and Cognition story photos; kept 14 substantive UI/chart/diagram images and removed 46 conference/photo/logo/thumbnail assets.
50	done	keep	Continue Cognition story and product media	The next candidate sheet batch starting at the Cognition problem-solvers image is visually inspected, source context checked, regenerated, and draft-check passes.	9c9d7b8	draft ok: raw=8175 keep=2452 duplicate=760 drop=4963 reviewed=2769; final blocker unreviewed_keep=575 generic_keep=575	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/6a0ca101c2f6cd237e4dba12_problem-solvers-800kb.jpg.	Reviewed Cognition/Replit problem-solvers thumbnails, Anthropic sales dashboard, HTML artifact examples for Claude Code, Presien/Genspark/Jamf/HubSpot/Twilio customer story media, Code with Claude SF/London recording stills, connector logos, LLM security defender-loop diagram, and Claude Code dynamic workflows screenshot; kept 12 substantive dashboard/HTML-artifact/security/dynamic-workflow images and removed 48 thumbnail/logo/conference/photo assets.
51	done	keep	Continue connector and dynamic workflow media	The next candidate sheet batch starting at the Strava connector logo is visually inspected, source context checked, regenerated, and draft-check passes.	15cf1f6	draft ok: raw=8175 keep=2421 duplicate=760 drop=4994 reviewed=2829; final blocker unreviewed_keep=515 generic_keep=515	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/6a1baf5c8def5a8ce06c91fc_Strava%20Echelon%20Orange.svg.	Reviewed connector and partner logos, Claude Cowork best-practice screenshots, Legora thumbnail, Claude Code dynamic workflow diagrams and terminal screenshots, Claude Code skills guidance screenshots, self-service analytics diagrams, Lovable story stills, MCP observability dashboard, and Apple Foundation Models framework code examples; kept 29 substantive tutorial/product/diagram images and removed 31 logo/thumbnail/story-still assets.
52	done	keep	Continue Managed Agents and platform media	The next candidate sheet batch starting at the Claude Console scheduled deployments screenshot is visually inspected, source context checked, regenerated, and draft-check passes.	c1bcf05	draft ok: raw=8175 keep=2383 duplicate=760 drop=5032 reviewed=2889; final blocker unreviewed_keep=455 generic_keep=455	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/6a2704ab5b6bc1de3bb952fc_Claude-Console-Scheduled-Deployments.png.	Reviewed Managed Agents scheduled deployment screenshot, Cursor story photos, Claude Platform course icon, agentic surfaces architecture diagrams/screens, Workload Identity Federation setup, connector and partner logos, Claude Design product image, Build Day event photos, Steering Claude Code diagrams, powered-by-Claude logo cards, Agent identity/@Claude workspace screenshots, Dropbox logo, and human-agent team examples; kept 22 substantive UI/diagram/product images and removed 38 logo/photo/event-thumbnail assets.
53	done	keep	Manually review the next 60 kept image candidates starting at the human-agent teams launch room flow image.	The next candidate sheet batch starting at the human-agent teams launch room flow image is visually inspected, source context checked, regenerated, and draft-check passes.	2e5bd34	draft ok: raw=8175 keep=2337 duplicate=760 drop=5078 reviewed=2949; final blocker unreviewed_keep=395 generic_keep=395	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/6a3bf2ac55e5efdefd1d06fb_LAUNCH%20ROOM.png.	Reviewed human-agent team launch room and delegation diagram, healthcare connector logo cards, Project Deal avatars/photos/object evidence, Anthropic Institute decorative topic thumbnails, Claude Corps partner photos/logos, Workbench button fragments, prompt sharing screens, Console usage/cost dashboards, Claude Code token management, Canvas LTI setup, shared chats, payment modal, and appearance settings; kept 14 substantive diagram/case-study/UI/dashboard/setup images and removed 46 logo/photo/decorative/support-fragment assets.
54	done	keep	Manually review the next 60 kept image candidates starting at the Claude Desktop Local MCP Servers custom extension settings screen.	The next candidate sheet batch starting at the Claude Desktop Local MCP Servers custom extension settings screen is visually inspected, source context checked, regenerated, and draft-check passes.	f600ad1	draft ok: raw=8175 keep=2319 duplicate=759 drop=5097 reviewed=3009; final blocker unreviewed_keep=335 generic_keep=335	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://downloads.intercomcdn.com/i/o/lupk8zyo/1681607607/ba6e379d2769d190f0970a0adaed/AD_4nXd4aZkqjJFpiXMPF28Pih7HmSJ9pPsnoWAfVgiLdFRFiTkO92YtXteIjvDHaPl7T0tjfpRTBOlyrMbQ_aciCNDgfIuEvV3szmKvt72x5O51DMSClXOYWk1JIRIzylwkj3joXqZcLw?expires=1782459900&signature=4bd30de5c9b3d417dcfeff6d50e1ad40e6d61fa55c2a245b764ef1d1fe7b4cd9&req=dSYvF89%2BmodfXvMW1HO4zWbPxEJ7MjQ7Hn9K2IaIG2LT35njniSBHiwXgRYd%0ArLXP2aWtc%2FJXx9HmG2Q%3D%0A.	Reviewed Local MCP/custom desktop extension settings, billing plan screenshots, Android permissions, Claude Code usage analytics, chat search/memory toggles, Xcode integration, Console feedback/privacy, project visibility/sharing, Slack onboarding and assistant screens, desktop extension allowlist, project chat management, Claude Code web diagrams, skills/network egress settings, Chrome permissions, Excel permissions, Compliance API, session security, Chrome connector setup, quick entry, account onboarding, Team/Enterprise analytics, Claude chat input, shared chats privacy, and billing form; kept 42 substantive feature/admin/permission/dashboard screens and removed 18 billing/account/support fragments.
55	done	keep	Manually review the next 60 kept image candidates starting at the Claude Console appearance color mode screen.	The next candidate sheet batch starting at the Claude Console appearance color mode screen is visually inspected, source context checked, regenerated, and draft-check passes.	187d78a	draft ok: raw=8175 keep=2310 duplicate=759 drop=5106 reviewed=3069; final blocker unreviewed_keep=275 generic_keep=275	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://downloads.intercomcdn.com/i/o/lupk8zyo/1922579101/ede30d38dca693c59f9c15d79e69/CleanShot+2026-01-08+at+15_45_20%402x.png.	Reviewed Console appearance, Console login/sidebar/workbench fragments, artifact sharing/publishing/embed, Console account deletion prompts, web search admin toggle, visual/interactive content cards, voice mode controls/settings, SSO/domain verification, account domain removal, public project controls, network egress, team feedback settings, plugins and skills management, Cowork scheduled tasks/projects/global instructions/Dispatch/computer use, spend limits, Microsoft 365 integration, usage analytics, Public Sector matrix, SSO/SCIM setup, MCP support link, and role-based permissions; kept 51 substantive feature/admin/visual/workflow screens and removed 9 account/support/button/duplicate fragments.
56	done	keep	Manually review the next 60 kept image candidates starting at the Enterprise role-based permissions SCIM group sync screen.	The next candidate sheet batch starting at the Enterprise role-based permissions SCIM group sync screen is visually inspected, source context checked, regenerated, and draft-check passes.	629c355	draft ok: raw=8175 keep=2297 duplicate=759 drop=5119 reviewed=3129; final blocker unreviewed_keep=215 generic_keep=215	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://downloads.intercomcdn.com/i/o/lupk8zyo/2260374677/5f9d8febb8ae25153a94d0b827b9/c8314b27-96c1-4743-ae8b-25e511181837.	Reviewed Enterprise RBAC/SCIM/JIT/SSO/group spend limit/admin permission screens, Claude Design setup/admin screens, Slack thread and usage analytics screenshots, Academy subagent/skills/hooks course screenshots, and Intercom support category icons; kept 47 substantive RBAC/admin/design/slack/analytics/course screenshots and removed 13 account-support, decorative pictogram, and support category icon assets.
57	done	keep	Manually review the next kept image candidates starting at the Claude Mobile apps support category icon.	The next candidate sheet batch starting at the Claude Mobile apps support category icon is visually inspected, source context checked, regenerated, and draft-check passes.	d301a7e	draft ok: raw=8175 keep=2277 duplicate=767 drop=5131 reviewed=3189; final blocker unreviewed_keep=155 generic_keep=155	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://intercom.help/anthropic-6f71807d7c3e/assets/svg/icon:other-devices-device-phone-mobile/F0F0EB.	Reviewed Intercom support category icons, Office agent architecture diagrams, Claude Tag identity/security/session/access-scope diagrams, MCP Apps design guideline examples, and Claude Code VS Code/agent-view/auto-fix/routines/usage screenshots; kept 40 substantive architecture/design/product visuals, marked 8 dark-light duplicates, and removed 12 support/decorative assets.
58	done	keep	Manually review the next kept image candidates starting at the Claude Code VS Code proposed edits diff screenshot.	The next candidate sheet batch starting at the Claude Code VS Code proposed edits diff screenshot is visually inspected, source context checked, regenerated, and draft-check passes.	2f7ec3a	draft ok: raw=8175 keep=2243 duplicate=770 drop=5162 reviewed=3249; final blocker unreviewed_keep=95 generic_keep=95	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://mintcdn.com/claude-code/FVYz38sRY-VuoGHA/images/vs-code-edits.png.	Reviewed Claude Code VS Code integration screenshots, fast/dynamic workflow screenshots, prompt caching and devcontainer diagrams, Agent SDK/permission/agentic-loop/data-flow/context/hook/session diagrams, artifact viewer, status line examples, subagents-vs-agent-teams diagram, hooks/channel/MCP diagrams, and Anthropic engineering/news SVGs; kept 26 substantive feature/architecture/data visuals, marked 3 theme duplicates, and removed 31 article hero/card/logo/formula/decorative fragments.
59	todo	n/a	Manually review the next kept image candidates starting at the Building a C compiler with a team of parallel Claudes article card SVG.	The next candidate sheet batch starting at the Building a C compiler with a team of parallel Claudes article card SVG is visually inspected, source context checked, regenerated, and draft-check passes.	-	-	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://www-cdn.anthropic.com/images/4zrzovbb/website/44e93e074d53285f64ff717365b04c4a2164a445-1200x1200.svg.	Current final proof blocker after row58: unreviewed_keep=95 generic_keep=95.
